Time started: 2026-02-10 10:16:47.200429
Vendor: IBM
Backend: ibm_pittsburgh
Problems: ['Bernstein-Vazirani']

problem,num_qubits,shots,end_time,time_ms,usage_estimation,results,metadata,error_data
Bernstein-Vazirani,6,1024,2026-02-10T15:31:34.531Z,5971.474,2.187006238,"{'11001': 906, '11011': 19, '01001': 46, '00001': 2, '10001': 20, '11000': 14, '11101': 13, '01000': 1, '00000': 2, '10000': 1}",Secret number: 11001,"{'q72': {'T1': 0.00027638302748742065, 'T2': 0.00045126305153520864, 'readout_error': 0.002197265625}, 'q55': {'T1': 0.00031918378274550774, 'T2': 0.00036779462753775566, 'readout_error': 0.0023193359375}, 'q148': {'T1': 0.0003012158103518112, 'T2': 0.0004409056489114565, 'readout_error': 0.00146484375}, 'q74': {'T1': 0.0001429783348236107, 'T2': 0.0001981055372209431, 'readout_error': 0.002685546875}, 'q79': {'T1': 0.00032079506723493243, 'T2': 0.00043084832668176633, 'readout_error': 0.0023193359375}, 'q73': {'T1': 0.0003543131842778996, 'T2': 3.8607643095032445e-05, 'readout_error': 0.002685546875}}"
Bernstein-Vazirani,6,1024,2026-02-10T15:31:47.761Z,6664.453,3.103703581,"{'00010': 973, '10010': 5, '00000': 12, '00110': 20, '00011': 11, '00001': 1, '01010': 1, '10011': 1}",Secret number: 00010,"{'q143': {'T1': 0.00024098390633202812, 'T2': 0.0003403071653251344, 'readout_error': 0.001953125}, 'q148': {'T1': 0.0003012158103518112, 'T2': 0.0004409056489114565, 'readout_error': 0.00146484375}, 'q55': {'T1': 0.00031918378274550774, 'T2': 0.00036779462753775566, 'readout_error': 0.0023193359375}, 'q60': {'T1': 0.00029479108971257296, 'T2': 0.00048071281308794463, 'readout_error': 0.00244140625}, 'q12': {'T1': 0.00022450278854727006, 'T2': 0.0002341901341773684, 'readout_error': 0.0015869140625}, 'q149': {'T1': 0.00031937882129805077, 'T2': 0.00026078442619906136, 'readout_error': 0.00244140625}}"
Bernstein-Vazirani,6,1024,2026-02-10T15:31:59.877Z,4984.305,2.348954488,"{'10001': 951, '00001': 13, '00000': 3, '10011': 35, '10000': 12, '10101': 5, '11001': 4, '11011': 1}",Secret number: 10001,"{'q72': {'T1': 0.00027638302748742065, 'T2': 0.00045126305153520864, 'readout_error': 0.002197265625}, 'q55': {'T1': 0.00031918378274550774, 'T2': 0.00036779462753775566, 'readout_error': 0.0023193359375}, 'q148': {'T1': 0.0003012158103518112, 'T2': 0.0004409056489114565, 'readout_error': 0.00146484375}, 'q12': {'T1': 0.00022450278854727006, 'T2': 0.0002341901341773684, 'readout_error': 0.0015869140625}, 'q79': {'T1': 0.00032079506723493243, 'T2': 0.00043084832668176633, 'readout_error': 0.0023193359375}, 'q73': {'T1': 0.0003543131842778996, 'T2': 3.8607643095032445e-05, 'readout_error': 0.002685546875}}"
Bernstein-Vazirani,6,1024,2026-02-10T15:32:12.274Z,5536.598,2.187006238,"{'10011': 948, '10001': 15, '00001': 2, '10010': 15, '00011': 14, '00010': 2, '10111': 17, '00000': 3, '11011': 7, '10110': 1}",Secret number: 10011,"{'q72': {'T1': 0.00027638302748742065, 'T2': 0.00045126305153520864, 'readout_error': 0.002197265625}, 'q74': {'T1': 0.0001429783348236107, 'T2': 0.0001981055372209431, 'readout_error': 0.002685546875}, 'q55': {'T1': 0.00031918378274550774, 'T2': 0.00036779462753775566, 'readout_error': 0.0023193359375}, 'q148': {'T1': 0.0003012158103518112, 'T2': 0.0004409056489114565, 'readout_error': 0.00146484375}, 'q79': {'T1': 0.00032079506723493243, 'T2': 0.00043084832668176633, 'readout_error': 0.0023193359375}, 'q73': {'T1': 0.0003543131842778996, 'T2': 3.8607643095032445e-05, 'readout_error': 0.002685546875}}"
Bernstein-Vazirani,6,1024,2026-02-10T15:32:24.768Z,5770.259,2.187006238,"{'01011': 918, '01111': 8, '01010': 25, '00100': 1, '00011': 15, '01001': 26, '11001': 1, '01000': 3, '11011': 21, '00000': 3, '00001': 2, '11010': 1}",Secret number: 01011,"{'q72': {'T1': 0.00027638302748742065, 'T2': 0.00045126305153520864, 'readout_error': 0.002197265625}, 'q74': {'T1': 0.0001429783348236107, 'T2': 0.0001981055372209431, 'readout_error': 0.002685546875}, 'q148': {'T1': 0.0003012158103518112, 'T2': 0.0004409056489114565, 'readout_error': 0.00146484375}, 'q79': {'T1': 0.00032079506723493243, 'T2': 0.00043084832668176633, 'readout_error': 0.0023193359375}, 'q55': {'T1': 0.00031918378274550774, 'T2': 0.00036779462753775566, 'readout_error': 0.0023193359375}, 'q73': {'T1': 0.0003543131842778996, 'T2': 3.8607643095032445e-05, 'readout_error': 0.002685546875}}"
Bernstein-Vazirani,6,1024,2026-02-10T15:32:38.381Z,6809.683,3.103703581,"{'00010': 971, '00000': 15, '00110': 16, '10010': 6, '00011': 14, '00111': 1, '01010': 1}",Secret number: 00010,"{'q143': {'T1': 0.00024098390633202812, 'T2': 0.0003403071653251344, 'readout_error': 0.001953125}, 'q148': {'T1': 0.0003012158103518112, 'T2': 0.0004409056489114565, 'readout_error': 0.00146484375}, 'q55': {'T1': 0.00031918378274550774, 'T2': 0.00036779462753775566, 'readout_error': 0.0023193359375}, 'q60': {'T1': 0.00029479108971257296, 'T2': 0.00048071281308794463, 'readout_error': 0.00244140625}, 'q12': {'T1': 0.00022450278854727006, 'T2': 0.0002341901341773684, 'readout_error': 0.0015869140625}, 'q149': {'T1': 0.00031937882129805077, 'T2': 0.00026078442619906136, 'readout_error': 0.00244140625}}"
Bernstein-Vazirani,6,1024,2026-02-10T15:32:54.355Z,8977.413,3.103703581,"{'00100': 974, '01100': 1, '00101': 13, '10100': 24, '00110': 6, '00000': 6}",Secret number: 00100,"{'q143': {'T1': 0.00024098390633202812, 'T2': 0.0003403071653251344, 'readout_error': 0.001953125}, 'q12': {'T1': 0.00022450278854727006, 'T2': 0.0002341901341773684, 'readout_error': 0.0015869140625}, 'q148': {'T1': 0.0003012158103518112, 'T2': 0.0004409056489114565, 'readout_error': 0.00146484375}, 'q60': {'T1': 0.00029479108971257296, 'T2': 0.00048071281308794463, 'readout_error': 0.00244140625}, 'q55': {'T1': 0.00031918378274550774, 'T2': 0.00036779462753775566, 'readout_error': 0.0023193359375}, 'q149': {'T1': 0.00031937882129805077, 'T2': 0.00026078442619906136, 'readout_error': 0.00244140625}}"
Bernstein-Vazirani,6,1024,2026-02-10T15:33:11.939Z,10790.164,2.187006238,"{'01011': 936, '01001': 16, '00011': 15, '11011': 26, '01111': 10, '01010': 15, '00001': 2, '10011': 1, '00000': 2, '11010': 1}",Secret number: 01011,"{'q72': {'T1': 0.00027638302748742065, 'T2': 0.00045126305153520864, 'readout_error': 0.002197265625}, 'q74': {'T1': 0.0001429783348236107, 'T2': 0.0001981055372209431, 'readout_error': 0.002685546875}, 'q148': {'T1': 0.0003012158103518112, 'T2': 0.0004409056489114565, 'readout_error': 0.00146484375}, 'q79': {'T1': 0.00032079506723493243, 'T2': 0.00043084832668176633, 'readout_error': 0.0023193359375}, 'q55': {'T1': 0.00031918378274550774, 'T2': 0.00036779462753775566, 'readout_error': 0.0023193359375}, 'q73': {'T1': 0.0003543131842778996, 'T2': 3.8607643095032445e-05, 'readout_error': 0.002685546875}}"
Bernstein-Vazirani,6,1024,2026-02-10T15:33:35.260Z,16693.259,3.103703581,"{'00010': 978, '00000': 12, '00110': 24, '00011': 5, '10010': 3, '01010': 1, '00111': 1}",Secret number: 00010,"{'q143': {'T1': 0.00024098390633202812, 'T2': 0.0003403071653251344, 'readout_error': 0.001953125}, 'q148': {'T1': 0.0003012158103518112, 'T2': 0.0004409056489114565, 'readout_error': 0.00146484375}, 'q55': {'T1': 0.00031918378274550774, 'T2': 0.00036779462753775566, 'readout_error': 0.0023193359375}, 'q60': {'T1': 0.00029479108971257296, 'T2': 0.00048071281308794463, 'readout_error': 0.00244140625}, 'q12': {'T1': 0.00022450278854727006, 'T2': 0.0002341901341773684, 'readout_error': 0.0015869140625}, 'q149': {'T1': 0.00031937882129805077, 'T2': 0.00026078442619906136, 'readout_error': 0.00244140625}}"
Bernstein-Vazirani,6,1024,2026-02-10T15:33:50.387Z,7952.178,2.348954488,"{'10010': 948, '10000': 12, '00010': 17, '10110': 34, '11010': 2, '10011': 6, '00000': 4, '10100': 1}",Secret number: 10010,"{'q148': {'T1': 0.0003012158103518112, 'T2': 0.0004409056489114565, 'readout_error': 0.00146484375}, 'q72': {'T1': 0.00027638302748742065, 'T2': 0.00045126305153520864, 'readout_error': 0.002197265625}, 'q55': {'T1': 0.00031918378274550774, 'T2': 0.00036779462753775566, 'readout_error': 0.0023193359375}, 'q12': {'T1': 0.00022450278854727006, 'T2': 0.0002341901341773684, 'readout_error': 0.0015869140625}, 'q79': {'T1': 0.00032079506723493243, 'T2': 0.00043084832668176633, 'readout_error': 0.0023193359375}, 'q73': {'T1': 0.0003543131842778996, 'T2': 3.8607643095032445e-05, 'readout_error': 0.002685546875}}"
Bernstein-Vazirani,6,1024,2026-02-10T15:34:15.431Z,18357.468,2.187006238,"{'10011': 950, '10111': 23, '10010': 14, '10001': 16, '00011': 12, '00000': 4, '10101': 1, '00111': 1, '00001': 1, '00010': 2}",Secret number: 10011,"{'q72': {'T1': 0.00027638302748742065, 'T2': 0.00045126305153520864, 'readout_error': 0.002197265625}, 'q74': {'T1': 0.0001429783348236107, 'T2': 0.0001981055372209431, 'readout_error': 0.002685546875}, 'q55': {'T1': 0.00031918378274550774, 'T2': 0.00036779462753775566, 'readout_error': 0.0023193359375}, 'q148': {'T1': 0.0003012158103518112, 'T2': 0.0004409056489114565, 'readout_error': 0.00146484375}, 'q79': {'T1': 0.00032079506723493243, 'T2': 0.00043084832668176633, 'readout_error': 0.0023193359375}, 'q73': {'T1': 0.0003543131842778996, 'T2': 3.8607643095032445e-05, 'readout_error': 0.002685546875}}"
Bernstein-Vazirani,6,1024,2026-02-10T15:34:27.916Z,5474.782,2.348954488,"{'01010': 957, '01110': 5, '00010': 17, '11010': 24, '01000': 14, '01011': 4, '00001': 1, '00000': 2}",Secret number: 01010,"{'q148': {'T1': 0.0003012158103518112, 'T2': 0.0004409056489114565, 'readout_error': 0.00146484375}, 'q79': {'T1': 0.00032079506723493243, 'T2': 0.00043084832668176633, 'readout_error': 0.0023193359375}, 'q12': {'T1': 0.00022450278854727006, 'T2': 0.0002341901341773684, 'readout_error': 0.0015869140625}, 'q72': {'T1': 0.00027638302748742065, 'T2': 0.00045126305153520864, 'readout_error': 0.002197265625}, 'q55': {'T1': 0.00031918378274550774, 'T2': 0.00036779462753775566, 'readout_error': 0.0023193359375}, 'q73': {'T1': 0.0003543131842778996, 'T2': 3.8607643095032445e-05, 'readout_error': 0.002685546875}}"
Bernstein-Vazirani,6,1024,2026-02-10T15:34:42.889Z,8440.960,2.315839053,"{'11100': 21, '11101': 917, '00101': 4, '01101': 31, '10101': 13, '00000': 6, '01100': 8, '10001': 2, '10100': 2, '11111': 4, '00001': 5, '00100': 1, '11001': 7, '10000': 3}",Secret number: 11101,"{'q113': {'T1': 0.000449796774534051, 'T2': 0.0003859991104948635, 'readout_error': 0.0042724609375}, 'q148': {'T1': 0.0003012158103518112, 'T2': 0.0004409056489114565, 'readout_error': 0.00146484375}, 'q112': {'T1': 0.00031988513288904857, 'T2': 0.0003672802813560044, 'readout_error': 0.0015869140625}, 'q119': {'T1': 0.0002911306429058255, 'T2': 0.0003938079885786404, 'readout_error': 0.0028076171875}, 'q115': {'T1': 0.0003935871964858028, 'T2': 0.00039961307126167364, 'readout_error': 0.0028076171875}, 'q114': {'T1': 0.0003291754039385179, 'T2': 0.0004129809203181829, 'readout_error': 0.0025634765625}}"
Bernstein-Vazirani,6,1024,2026-02-10T15:34:55.032Z,4990.411,2.187006238,"{'01101': 936, '01001': 24, '11101': 26, '01100': 14, '00000': 5, '01111': 5, '00101': 11, '00100': 1, '00001': 2}",Secret number: 01101,"{'q72': {'T1': 0.00027638302748742065, 'T2': 0.00045126305153520864, 'readout_error': 0.002197265625}, 'q148': {'T1': 0.0003012158103518112, 'T2': 0.0004409056489114565, 'readout_error': 0.00146484375}, 'q74': {'T1': 0.0001429783348236107, 'T2': 0.0001981055372209431, 'readout_error': 0.002685546875}, 'q79': {'T1': 0.00032079506723493243, 'T2': 0.00043084832668176633, 'readout_error': 0.0023193359375}, 'q55': {'T1': 0.00031918378274550774, 'T2': 0.00036779462753775566, 'readout_error': 0.0023193359375}, 'q73': {'T1': 0.0003543131842778996, 'T2': 3.8607643095032445e-05, 'readout_error': 0.002685546875}}"
Bernstein-Vazirani,6,1024,2026-02-10T15:35:13.477Z,11482.226,3.103703581,"{'10100': 28, '10000': 957, '10001': 19, '11000': 2, '00000': 15, '10010': 3}",Secret number: 10000,"{'q143': {'T1': 0.00024098390633202812, 'T2': 0.0003403071653251344, 'readout_error': 0.001953125}, 'q12': {'T1': 0.00022450278854727006, 'T2': 0.0002341901341773684, 'readout_error': 0.0015869140625}, 'q55': {'T1': 0.00031918378274550774, 'T2': 0.00036779462753775566, 'readout_error': 0.0023193359375}, 'q60': {'T1': 0.00029479108971257296, 'T2': 0.00048071281308794463, 'readout_error': 0.00244140625}, 'q148': {'T1': 0.0003012158103518112, 'T2': 0.0004409056489114565, 'readout_error': 0.00146484375}, 'q149': {'T1': 0.00031937882129805077, 'T2': 0.00026078442619906136, 'readout_error': 0.00244140625}}"
